rank,level,server,guild,character
140,97,Virba1,Lamium,ホー助君DXsp
141,97,Eda3,M2O,超あるふred
142,97,Virba2,Oblivion,ーArroWー
143,97,Eda3,わっしょい,テクヤクコタマン
144,97,Eda3,M2O,ゆんゆんぽむ
145,97,Virba1,サーフィス,アルシア
146,97,Virba2,Oblivion,定時シンデレラ
147,97,Virba1,サーフィス,赤頭巾
148,96,Eda4,ぱてぃすりーず,檸檬どらやき
149,96,Virba4,猫と愉快な仲間,邪夢JAM
150,96,Eda4,エス,syousei
151,96,Virba2,Abyss,ぷちにゃんこ
152,96,Eda3,M2O,シェラ
153,96,Eda4,なみだふくよ,masaki
154,96,Eda3,わっしょい,魔法少女JPN
155,96,Eda4,ぱてぃすりーず,バステトリュフ
156,96,Virba4,猫と愉快な仲間,Ehekatl
157,96,Virba4,朧桜,うりりん
158,96,Eda3,,チョコボ大魔王
159,96,Eda3,わっしょい,魔法の少女うさぽ
160,96,Eda3,M2O,Jupis
161,96,Eda4,なみだふくよ,ワンタロウ
162,96,Eda3,M2O,ケンラウヘル
163,96,Eda4,ぱてぃすりーず,魔っくー
164,96,Virba4,Harmony,床calmato
165,96,Eda3,どっこいしょ,鹿目ゆにてゃ
166,96,Eda4,なみだふくよ,馬破
167,96,Eda3,わっしょい,魔法少女イーヌ
168,96,Eda3,わっしょい,魔法少女えだは
169,96,Virba4,朧桜,ミケーレ
170,96,Eda2,Lien,Nyaロメ
171,96,Eda3,,魔法少女D
172,96,Eda3,どっこいしょ,まじかるばんび
173,96,Virba1,サーフィス,シグルト
174,96,Virba2,Oblivion,o聖華o
175,96,Virba4,,ヴィオラo
176,96,Eda4,ぱてぃすりーず,にー包みのタルト
177,96,Virba1,サーフィス,天ぷらそば
178,96,Eda4,なみだふくよ,緑亀龍
179,96,Virba2,Oblivion,VioILet
180,96,Eda4,なみだふくよ,闘翔
181,96,Virba4,猫と愉快な仲間,バーサス
182,96,Eda4,なみだふくよ,猫の惑星
183,96,Eda3,わっしょい,魔法少女こっこ
184,96,Virba4,Harmony,むす
185,96,Eda4,なみだふくよ,美酒詠流天
186,96,Virba3,月花町の安らげ荘,ナブディス
187,96,Eda3,M2O,白黒
188,96,Eda4,一念通天,ゴッツい生ゴミ
189,96,Eda3,M2O,シンデレラバスト
190,96,Virba4,Harmony,ZioZio
191,96,Virba4,,ト琴
192,96,Eda3,M2O,ひーまに
193,96,Virba2,asylum,oぱにゃこo
194,96,Virba2,Oblivion,ーねるねるー
195,96,Eda2,5secret,超ハブ太郎
196,96,Eda2,5secret,ぽっぽ13
197,96,Virba4,Harmony,Iili
198,96,Eda2,LOOSER,わき腹が痛い
199,96,Eda4,ぱてぃすりーず,嫉妬の生ゴミ
200,96,Eda4,,oFRANo
201,96,Virba2,Abyss,ロックネット
202,96,Eda3,どっこいしょ,黄昏ベンギン
203,96,Virba4,Harmony,手拍子
204,96,Eda4,なみだしてんし,さんよん
205,96,Eda4,,kulisan
206,96,Eda2,猫部屋,Nyaro
207,96,Eda4,慰安旅行に行こう,綿飴
208,96,Eda4,なみだふくよ,薄氷を踏むケリア
209,96,Virba1,サーフィス,Shiina
210,96,Eda2,5secret,ニャンコ隊長
211,96,Eda2,覇桜花,温泉水
212,96,Eda3,M2O,いんて
213,96,Eda4,なみだふくよ,不主
214,96,Virba4,朧桜,くまこぉぉ
