rank,level,server,guild,character
627,94,Eda4,すうぃーてぃす,MagandaZ
628,94,Eda3,どっこいしょ,カツ丼少女中居
629,94,Eda4,なみだしてんし,魔流
630,94,Eda2,Lien,りあんのさやち
631,94,Virba2,Oblivion,ケニ
632,94,Eda3,M2O,じょおおさん
633,94,Virba1,サーフィス,ちょむむ
634,94,Eda2,れくいえむ,虎鉄
635,94,Virba4,,多田紫恵楽
636,94,Virba2,Abyss,転生はやみん
637,94,Virba2,Abyss,バテバテ
638,94,Eda3,猫舌,卍爆乱隊総長卍
639,94,Eda2,5secret,ちぇはまろちゃん
640,94,Eda2,れくいえむ,風玖
641,94,Eda2,Lien,羽紙太呂宇
642,94,Virba2,Abyss,にゃみ娘
643,94,Eda2,5secret,べるめ
644,94,Eda3,M2O,ころく
645,94,Eda1,ミーティス,増税円安暁
646,93,Virba2,NoCtuRN,tyaru
647,93,Eda1,Pecos,ぺこ
648,93,Virba1,サーフィス,ぺぺぺぺ
649,93,Eda3,どっこいしょ,十文字マギカ
650,93,Eda4,,おやびんDM
651,93,Eda4,なみだしてんし,湾茶
652,93,Virba4,月華,奈良のクマさん
653,93,Eda3,ぴよぴよ団,アトナツ
654,93,Eda2,覇桜花,旧西ノ台
655,93,Eda2,覇桜花,ルルサ
656,93,Virba4,月華,モノクマ
657,93,Eda2,Lien,ドクロちゃん
658,93,Eda2,Etude,ごむごむ
659,93,Virba4,月華,さいば
660,93,Virba4,猫と愉快な仲間,八尋
661,93,Virba4,ひとひらの自由,ゆきみ
662,93,Eda2,,VowZero
663,93,Eda4,なみだふくよ,鵜那魏
664,93,Virba1,サーフィス,yuririn
665,93,Virba4,月華,まゅら
666,93,Virba1,サーフィス,ミエ
667,93,Eda3,どっこいしょ,魔法使いのスープ
668,93,Eda4,なみだF,poeko
669,93,Eda1,ミーティス,Elpis
670,93,Virba2,Abyss,Hiroumi
671,93,Virba2,Abyss,とにー
672,93,Eda4,ぱてぃすりーず,ぐり虎
673,93,Eda3,M2O,ぷっち
674,93,Virba4,,タンバりんo
675,93,Eda4,なみだしてんし,蟹蔵
676,93,Eda2,猫部屋,あたちゃん
677,93,Eda2,猫部屋,セイアLV13
678,93,Eda4,なみだしてんし,璃志威
679,93,Eda2,猫部屋,まきしむ
680,93,Eda2,猫部屋,うろか
681,93,Virba1,サーフィス,mi
682,93,Eda4,えいぺっくす,メガげんがー
683,93,Eda2,れくいえむ,ーみゅうー
684,93,Virba4,Wings,ぱせり
685,93,Eda2,猫部屋,tomoxL
686,93,Virba2,castra,御坂美琴のよっ友
687,93,Eda2,猫部屋,神聖女神
688,93,Virba1,サーフィス,魔鐘
689,93,Virba3,月花町リゾート,ぱんだぁ
690,93,Eda4,なみだしてんし,紫紅縫衣
691,93,Virba4,血盟騎士団,YTR
692,93,Eda3,サブの家,PalFish
693,93,Virba4,まいなぽいん,フラフラ
694,93,Eda4,エス,サマーサーフィン
695,93,Eda3,ぴよぴよ団,筒井愉悦
696,93,Eda4,ぱてぃすりーず,甘王ゆす珠ちゃん
697,93,Virba4,朧桜,su1ken
698,93,Virba4,まいなぽいん,xo聖xo
699,93,Eda3,,葬送のクニーレン
700,93,Eda3,ぴよぴよ団,tomochin
701,93,Eda4,なみだF,Ricca
702,93,Virba4,ひとひらの自由,三毛猫モカ
703,93,Eda4,えいぺっくす,Ez
704,93,Virba4,二流待機,アトミックモキ
705,93,Virba4,江戸時代,ごじら1号
706,93,Virba2,NoCtuRN,紅王
707,93,Eda2,LOOSER,Epigonos
708,93,Virba4,月華,ぐるちゃん
709,93,Eda2,5secret,シェイクスピア
710,93,Eda2,覇桜花,莉杏
711,93,Eda2,れくいえむ,酒神審問官おさけ
712,93,Virba4,猫と愉快な仲間,Shiruku
713,93,Virba3,月花町の安らげ荘,イライザ
714,93,Eda2,Reload,LEC16
715,93,Eda4,なみだしてんし,最中誕
716,93,Virba4,まいなぽいん,バルディッシュ
717,93,Virba3,月花町の安らげ荘,シンメグ
718,93,Eda2,れくいえむ,すしぽよ
719,93,Virba4,まいなぽいん,ぱすた
720,93,Virba4,血盟騎士団,ドリフト
721,93,Eda1,ミーティス,蒼迅
722,93,Virba4,猫と愉快な仲間,イスト
723,93,Virba3,うさぎのしっぽ,チンパン零式
724,93,Virba4,月華,はるしおん
725,93,Eda4,エクスペリエンス,光岡
726,93,Eda4,なみだしてんし,不死鳥王
727,93,Virba2,,七夕ちゃん
728,93,Eda2,覇桜花,いとやん
729,93,Eda2,神聖ねこ鍋帝国,黒丸君
730,93,Eda4,,やどきんぐ
731,93,Virba4,クンゲー,アグラオネマ
732,93,Virba4,月華,るみちゃ
733,93,Virba4,HOALOHA友,松崎しげらない
734,93,Eda2,れくいえむ,みづひなZZ
735,93,Eda1,怪獣達が寝た後に,lOO円
736,93,Eda3,サブの家,銀色夏生
737,93,Virba4,青い空,takocha
738,93,Eda1,怪獣達が寝た後に,うーーまないざ
739,93,Virba2,NoCtuRN,梅干し弁当
740,93,Virba4,月華,はぁ
741,93,Eda3,ぴよぴよ団,やきとり3
742,93,Eda4,,Sherrry
743,93,Virba2,Oblivion,ウィドゥ
744,93,Eda4,なみだF,スライム美奈子
745,93,Eda4,えいぺっくす,KOF
746,93,Eda2,猫部屋,金太負けるな
747,93,Eda4,なみだF,fanza視聴者
748,93,Virba2,Oblivion,ひなchan
749,93,Eda1,ぺこりん村,けひ
750,93,Eda3,,Zippo
751,93,Eda4,なみだしてんし,Ralph
752,93,Virba2,,沼るハイジ
753,93,Virba4,まいなぽいん,アナ雪2
754,93,Virba2,Abyss,香水
755,93,Eda2,5secret,梨宮
756,93,Virba1,NoWords,辛拉麺
757,93,Virba4,血盟騎士団,デミトリ
758,93,Eda2,5secret,ぱんでみっく
759,93,Virba2,しろくま,taruちゃん
760,93,Virba3,うさぎのしっぽ,UltraK2
761,93,Virba2,マリーゴールド,クルミル
762,93,Virba2,Abyss,ひよこおぱんちゅ
763,93,Eda4,なみだF,チョキ君
764,93,Virba3,ケセラセラ,しあ
765,93,Virba4,ひとひらの自由,BlueFlow
766,93,Eda2,5secret,いくちん
767,93,Virba4,朧桜,このえ
768,93,Virba4,Wings,しーたけ
769,93,Virba2,Abyss,レッドオシャンT
770,93,Eda2,にゃんころもち,胸毛ロンギヌス
771,93,Virba4,四畳半,ルヴィアーナ
772,93,Virba4,すんすんらんど,一catnap一
773,93,Virba4,ひよこ隊,みことワッフル
774,93,Virba1,サーフィス,HawaLian
775,93,Eda1,無言フリーダム,りょうま818
776,93,Eda4,なみだぽよよ,めいる
777,93,Eda2,れくいえむ,ちゃぽむー
778,93,Virba4,Wings,ちぃーず
779,93,Virba4,回転寿司トリトン,ーBOSSー
780,93,Eda3,M2O,にっくぐらんど
781,93,Eda1,にゃん,ペペコーラ
782,93,Eda2,れくいえむ,七つ星
783,93,Virba1,サーフィス,ponta
784,93,Virba4,月華,柚羽
785,93,Eda4,なみだしてんし,雛茶魔
786,93,Virba3,月花町の安らげ荘,汚ケツ
787,93,Eda3,ぴよぴよ団,MYSK
788,93,Virba4,ルナティック,すーやん
789,93,Virba3,月花町の安らげ荘,モルル
790,93,Eda2,5secret,ちゃんくぼ
791,93,Eda2,猫部屋,うなぎぃーぬ
792,93,Virba3,コメット,深空
793,93,Virba4,HOALOHA玉,gam0
794,93,Eda4,ZENT,プリズムナナ
795,93,Eda3,M2O,紀伊国屋ぢ左衛門
796,93,Eda4,おさかなてんごく,おやじ猫ゼク
797,93,Eda3,どっこいしょ,魔法少女みのりん
798,93,Eda2,LOOSER,えこぐりーん
799,93,Eda2,Lien,ニシトシ
800,93,Virba1,サーフィス,ざぼん
801,93,Virba1,サーフィス,DAWN
802,93,Virba4,江戸時代,サンオブさん
803,93,Virba1,鷹の団,ひなころ
804,93,Virba2,NoCtuRN,メジ口アルダン
805,93,Virba2,NoCtuRN,サカナオサカナ
806,93,Virba4,Harmony,きぃたろ
807,93,Eda4,えいぺっくす,THS
808,93,Eda2,猫部屋,流れ弾
809,93,Virba4,月華,ラフィレオ朧
810,93,Virba4,月華,ロロリロ
811,93,Virba1,106号室,貸物件
812,93,Eda3,リュミエール,まるまる999
813,93,Virba4,猫と愉快な仲間,Sakuさく
814,93,Virba4,猫と愉快な仲間,ブレンディ
815,93,Virba4,血盟騎士団,パンターベル
816,93,Virba1,閉店ガラガラ,マツリバニー
817,93,Virba4,Wings,嵐狼
818,93,Virba1,サーフィス,GDーペコーDG
819,93,Eda3,M2O,カースティ
820,93,Eda3,GalaXY,保科正之
821,93,Eda3,TSGp,カルーセル麻紀
822,93,Eda3,どっこいしょ,魔法少女ニキ
823,93,Virba1,xvdg,serudear
824,93,Virba1,サーフィス2,はいねくす
825,93,Virba4,月華,リバーレリオ
826,93,Virba4,ルナティック,ころさん
827,93,Virba4,ねこまんま,フラウィウス
828,93,Eda4,なみだF,どすこいサンバ
829,93,Eda4,すうぃーてぃす,くうえる
830,93,Eda2,5secret,ニパウイルス
831,93,Eda2,5secret,莉琥
832,92,Eda2,れくいえむ,Rafy
833,92,Virba2,水晶宮,玉翡翠
834,92,Virba4,,クラシックメイド
835,92,Eda2,5secret,frostbt
836,92,Eda1,ミーティス,ラレー
837,92,Virba4,Wings,トマトハウス
838,92,Eda4,なみだF,空ちゃむ
839,92,Virba4,血盟騎士団,がんばれ
840,92,Eda2,れくいえむ,うーに
841,92,Virba1,サーフィス,瑠絵夢
842,92,Eda2,Lien,カネキン
843,92,Eda2,れくいえむ,東條のぞみ
844,92,Virba2,はねやすめ,メガコアルヒー
845,92,Virba3,月花町の安らげ荘,ー和ー
846,92,Eda4,ぽん5,気ままにポーン
847,92,Eda3,M2O,oiSio
848,92,Eda2,覇桜花,melody
849,92,Virba4,月華,かまぞう
850,92,Eda2,神聖ねこ鍋帝国,rita0
851,92,Virba4,本日の献立,芋サポ
852,92,Virba3,月花町の安らげ荘,トルド卿
853,92,Virba2,Abyss,羽月姫
854,92,Eda1,Pecos,nosuke
855,92,Eda2,覇桜花,赤い鳥のムスメ
856,92,Virba3,月花町の安らげ荘,ソルレイム
857,92,Virba4,猫と愉快な仲間,Altergo
858,92,Eda1,ミーティス,ル一ティ
859,92,Eda1,社台ファーム,ステイゴールド
860,92,Eda3,ぴよぴよ団,カプリデュオル
861,92,Eda1,Pecos,魚肉
862,92,Virba4,全弾被弾,なすてん
863,92,Virba2,Abyss,ホリーエンジェル
864,92,Virba1,サーフィス,藍涙
865,92,Virba4,猫と愉快な仲間,利華
866,92,Virba2,しろくま,ウェンディ
867,92,Eda4,エクスペリエンス,ぴよこっち
868,92,Virba4,Wings,山田ひまゎり
869,92,Virba4,Nomad,まこっちゃん
870,92,Virba1,Lamium,隠居した増税神
871,92,Virba2,NoCtuRN,メジロアルダン
872,92,Eda4,Kebap,あままりす
873,92,Virba4,猫と愉快な仲間,憐々
874,92,Eda2,5secret,syuuちゃん
875,92,Virba2,問題児,hiroron
876,92,Eda2,れくいえむ,んぷまるんが
877,92,Eda2,神聖ねこ鍋帝国,Luzlite
878,92,Virba4,月華,雪禰
879,92,Eda4,ZENT,パラダイスロスト
880,92,Eda2,猫部屋,o梨音o
881,92,Eda4,えいぺっくす,Galiano
882,92,Virba4,,みらまぁーれ
883,92,Eda2,猫部屋,ミルマーナ
884,92,Eda1,ぺこりん村,オズつん
885,92,Eda2,5secret,oしょうo
886,92,Eda2,れくいえむ,善光寺しな乃
887,92,Virba2,IililIlI,ふぁんねるこ
888,92,Virba4,ひとひらの自由,黒猫メイ
889,92,Virba2,NoCtuRN,抹茶ちゃん
890,92,Virba3,月花町の安らげ荘,さらさ
891,92,Virba4,月華,かま
892,92,Virba2,Abyss,萌瑠琉
893,92,Eda3,リュミエール,ALrex
894,92,Virba2,Abyss,ラピード
895,92,Eda3,ちゅーるに夢中,魔法少女100歳
896,92,Virba1,Gz,いんふぇるのん
897,92,Eda2,5secret,ちゅんちゅんまる
898,92,Virba4,すんすんらんど,o鰆o
899,92,Eda2,他力本願寺,XevenSR
900,92,Eda3,どっこいしょ,穢れた天パの魔女
901,92,Virba1,閉店ガラガラ,まさこママ
902,92,Virba4,ひとひらの自由,日菜
903,92,Virba4,ひとひらの自由,arisu
904,92,Eda3,森のハチミツ商会,りーふ
905,92,Eda4,わおん5,ご機嫌ドーン
906,92,Virba4,月華,受付嬢
907,92,Eda2,5secret,黒豆天使
908,92,Eda2,猫部屋,ふらーり
909,92,Virba4,,白虎野の娘
910,92,Eda4,なみだぽよよ,メルテム
911,92,Virba4,朧桜,ナルダ
912,92,Eda4,ピューロランド,oキキo
913,92,Eda4,,だんごぉ
914,92,Eda4,なみだしてんし,oyoyo
915,92,Eda3,Kap,jeiesu2
916,92,Eda3,lIIllIlI,Ashveil
917,92,Eda2,ぴあにしも,あぷにゃん
918,92,Eda2,れくいえむ,桃しゅが
919,92,Virba4,四畳半,シルフェル
920,92,Eda3,TSGp,カリnosuke
921,92,Virba1,2929831,いか納豆
922,92,Eda1,ーCROWNー,alyea
923,92,Eda1,帝国華撃団,結恋
924,92,Eda1,スターゲイザー,てっぺ
925,92,Virba1,サーフィス2,POCOCHAN
926,92,Virba2,しろくま,影烈楓齋
927,92,Eda3,どっこいしょ,ルシャ
928,92,Virba2,Abyss,アンブロシア
929,92,Eda3,どっこいしょ,SUNE80
930,92,Eda3,M2O,xヒヅキx
931,92,Eda3,,魔法少女はにちゃ
932,92,Eda3,,あんにゃー
933,92,Eda4,なみだF,もっちりクロミ
934,92,Eda1,ミーティス,たまごぼうろ
935,92,Virba2,Abyss,ユキりんご
936,92,Eda4,なみだしてんし,エルラス
937,92,Virba4,Harmony,尺八o
938,92,Virba4,Sticky,LCC
939,92,Eda3,ぽーたま,マンディオ
940,92,Virba4,朧桜,とんがりこん
941,92,Virba4,本日の献立,花梨
942,92,Eda1,ミーティス,むじ茶
943,92,Virba4,ルナティック,ベル07
944,92,Eda2,Lien,さやちんの偽物
945,92,Eda2,ぴあにしも,xシトロンx
946,92,Virba4,ひとひらの自由,Liber
947,92,Eda3,リュミエール,ぽんでりんG
948,92,Eda2,Lien,fate
949,92,Virba2,NoCtuRN,Veloci
950,92,Eda3,泥食べ食べ族,miミミmi
951,92,Virba4,月華,かるなばる
952,92,Virba3,月花町の安らげ荘,とり団子
953,92,Virba2,ふれんずのとびら,FしぇりるG
954,92,Virba4,血盟騎士団,Mikurumi
955,92,Eda4,ZENT,おぷぷぱぷぱ
956,92,Eda1,orange,Balblair
957,92,Virba1,最果て2nd,YAZZ
958,92,Eda4,すうぃーてぃす,杖の人
959,92,Eda4,すうぃーてぃす,Khronos
960,92,Eda4,えいぺっくす,Andrews
961,92,Eda4,fhsoso,スペランサ
962,92,Eda2,Lien,大親友彼女乃連J
963,92,Virba4,ひとひらの自由,めいちゅん
964,92,Eda2,5secret,しおるん
965,92,Virba4,全弾被弾,なすリッパ
966,92,Virba1,Lamium,山ロ百恵
967,92,Virba2,魔女の騎士団,CaSith
968,92,Virba4,まいなぽいん,みきてい
969,92,Eda3,ふんわり毛玉,ルンバ
970,92,Virba4,HOALOHA玉,ケン酒豪ケン
971,92,Eda2,5secret,もももりー
972,92,Eda3,ぽむ6号館,しらゆき
973,92,Virba4,百花繚乱,ポー子
974,92,Virba4,陽だまりの猫たち,詩織
975,92,Eda4,,ヤーマン2
976,92,Eda2,5secret,とぅえるん
977,92,Virba1,レッツサーフィス,りんまう
978,92,Eda3,ちゅーるに夢中,ADA
979,92,Virba1,サーフィス2,道民
980,92,Virba2,てぃるなのーぐ,アルマス
981,92,Eda4,なみだぽよよ,モルロス
982,92,Eda3,Flowers,Dianthus
983,92,Virba3,ケセラセラ,sanyon
984,92,Eda4,ZENT,むんちゃくっぱす
985,92,Eda3,ぽーたま,マンドゥ
986,92,Virba1,サーフィス,きょう子
987,92,Eda4,なみだF,kiyora
988,92,Virba2,Oblivion,makiy
989,92,Virba4,月華,ケセラセラ
990,92,Virba3,うさぎのしっぽ,イ珍チエ珍ボ
991,92,Virba3,月花町の安らげ荘,おまよさん
992,92,Virba4,まいなぽいん,チーネ
993,92,Eda4,すうぃーてぃす,メルルにゃ
994,92,Eda3,ぴーすxくまさん,アイベックス
995,92,Eda2,グミ超うめぇ,DUIYU
996,92,Eda3,どっこいしょ,風見鶏
997,92,Eda4,おさかなてんごく,緑ぴくみん
998,92,Eda4,えいぺっくす,ガイバーF91
999,92,Eda4,なみだしてんし,眠天使すやぁ
1000,92,Virba4,月華,りんご飴
